index,Museum,Museum Wiki,Museum Wikidata ID,Country,Country Wiki,Country Wikidata ID,City,City Wiki,City Wikidata ID,Visitors per year,City population,Country population,Wiki languages count,Continent,Museum types,Art/culture museum
53,Cité des Sciences et de l'Industrie,/wiki/Cit%C3%A9_des_Sciences_et_de_l%27Industrie,Q1094338,France,/wiki/France,Q142,Paris,/wiki/Paris,Q90,2370000,2187526,66628000,21,Europe,"['national museum', 'museum']",False
54,Galleria degli Uffizi,/wiki/Galleria_degli_Uffizi,Q51252,Italy,/wiki/Italy,Q38,Florence,/wiki/Florence,Q2044,2361732,382258,60317000,67,Europe,"['art museum', 'national museum', 'museum of culture', 'museum']",True
55,Inner Mongolia Museum,/wiki/Inner_Mongolia_Museum,Q13410768,China,/wiki/China,Q148,Hohhot,/wiki/Hohhot,Q535534,2361000,2635000,1409517397,8,Asia,['museum'],False
56,Auschwitz-Birkenau State Museum,/wiki/Auschwitz-Birkenau_State_Museum,Q819729,Poland,/wiki/Poland,Q36,Oświęcim,/wiki/O%C5%9Bwi%C4%99cim,Q7342,2320000,39057,38382576,15,Europe,"['military museum', 'museum']",False
57,Three Gorges Museum,/wiki/Three_Gorges_Museum,Q10872783,China,/wiki/China,Q148,Chongqing,/wiki/Chongqing,Q11725,2301900,7990000,1409517397,7,Asia,['museum'],False
58,National Folk Museum of Korea,/wiki/National_Folk_Museum_of_Korea,Q486449,South Korea,/wiki/South_Korea,Q884,Seoul,/wiki/Seoul,Q8684,2286276,9806538,51466201,18,Asia,"['national museum', 'museum']",False
59,Liaoning Provincial Museum,/wiki/Liaoning_Provincial_Museum,Q3330767,China,/wiki/China,Q148,Shenyang,/wiki/Shenyang,Q11720,2280000,7935000,1409517397,8,Asia,['museum'],False
60,Chengdu Museum ,/w/index.php?title=Chengdu_Museum&action=edit&redlink=1,,China,/wiki/China,Q148,Chengdu,/wiki/Chengdu,Q30002,2259000,11050000,1409517397,0,Asia,[],False
61,Guangdong Museum,/wiki/Guangdong_Museum,Q5613644,China,/wiki/China,Q148,Guangzhou,/wiki/Guangzhou,Q16572,2234800,13080500,1409517397,8,Asia,['museum'],False
62,Wenzhou Museum ,/w/index.php?title=Wenzhou_Museum&action=edit&redlink=1,,China,/wiki/China,Q148,Wenzhou,/wiki/Wenzhou,Q42635,2229900,4310000,1409517397,0,Asia,[],False
63,National Museum of Scotland,/wiki/National_Museum_of_Scotland,Q1633842,United Kingdom,/wiki/United_Kingdom,Q145,Edinburgh,/wiki/Edinburgh,Q23436,2210024,513210,66022273,24,Europe,"['national museum', 'museum']",False
64,California Science Center,/wiki/California_Science_Center,Q1067376,United States,/wiki/United_States,Q30,Los Angeles,/wiki/Los_Angeles,Q65,2200000,3976322,325145963,7,North America,['museum'],False
65,Van Gogh Museum,/wiki/Van_Gogh_Museum,Q224124,Netherlands,/wiki/Netherlands,Q55,Amsterdam,/wiki/Amsterdam,Q727,2100000,860124,17282163,52,Central America,"['art museum', 'museum of culture', 'museum']",True
66,Shanghai Museum,/wiki/Shanghai_Museum,Q1051293,China,/wiki/China,Q148,Shanghai,/wiki/Shanghai,Q8686,2070270,23390000,1409517397,28,Asia,['museum'],False
67,Suzhou Museum,/wiki/Suzhou_Museum,Q998042,China,/wiki/China,Q148,Suzhou,/wiki/Suzhou,Q42622,2030000,10465994,1409517397,9,Asia,['museum'],False
68,National Museum of African American History and Culture,/wiki/National_Museum_of_African_American_History_and_Culture,Q3073495,United States,/wiki/United_States,Q30,"Washington, D.C.","/wiki/Washington,_D.C.",Q61,2000000,705749,325145963,11,North America,"['African-American museum', 'museum']",False
